market_id,question,yes_prob,volume,liquidity,affects_pharma_supply,source_countries,disruption_level,reasoning,evaluated_at
561234,Will Marco Rubio win the 2028 US Presidential Election?,0.1225,9960032.992567005,154419.31191,FALSE,,NO DISRUPTION,"A US presidential election outcome, even with a major shift like Marco Rubio winning, does not inherently trigger direct disruptions to global pharmaceutical manufacturing, raw material sourcing, or export controls.",2026-05-20T15:15:52Z
2071510,2026 FIFA World Cup: Winless Team?,0.965,995.862719,9492.36699,FALSE,,NO DISRUPTION,"The 2026 FIFA World Cup is a sports event in the USA, Canada, and Mexico with no direct impact on pharmaceutical manufacturing, raw material sourcing, or export controls in key pharma-producing nations.",2026-05-20T15:14:00Z
1193230,Will Anže Logar be the next Prime Minister of Slovenia?,0.004,995418.4131400012,7165.50003,FALSE,,NO DISRUPTION,"Slovenia is not a major pharmaceutical manufacturing or API/export hub, and its political leadership changes have no direct impact on global pharma supply chains.",2026-05-20T15:14:13Z
1012320,Will Sunrisers Hyderabad win the 2026 Indian Premier League?,0.2005,99534.90413400024,9160.60068,FALSE,,NO DISRUPTION,"The 2026 Indian Premier League (IPL) is a sports event unrelated to pharmaceutical manufacturing, sourcing, or logistics, with no direct impact on global API/generics supply chains.",2026-05-20T15:19:45Z
2099670,Will SpaceX have 14 or more launches in May?,0.0095,995.3077950000004,1561.88872,FALSE,,NO DISRUPTION,"SpaceX launches are unrelated to pharmaceutical supply chain operations, manufacturing, or trade in APIs/generics.",2026-05-21T15:09:14Z
2319927,Will the highest temperature in Milan be 24°C on May 23?,0.002,995.2754,5115.556,FALSE,,NO DISRUPTION,"Weather conditions in Milan (e.g., temperature fluctuations) do not directly impact pharmaceutical supply chains, manufacturing, or logistics of APIs, raw materials, or finished drugs.",2026-05-21T14:23:24Z
2251774,Will Claude Code Commits hit (LOW) 300.0k by May 31?,0.215,995.26296,592.8564,FALSE,,NO DISRUPTION,"Claude Code Commits is unrelated to pharmaceutical supply chain operations, manufacturing, sourcing, or logistics.",2026-05-21T14:23:29Z
2228270,Spread: West Ham United FC (-2.5),0.12,99.525638,4729.8375,FALSE,,NO DISRUPTION,"The Premier League football match between West Ham United FC and Leeds United FC is a sports event unrelated to pharmaceutical manufacturing, raw material sourcing, or logistics.",2026-05-21T15:51:26Z
565064,Will the Republicans win the 2028 US Presidential Election?,0.385,994905.4368449956,315151.9925,TRUE,USA; China; India; Germany; Ireland; Japan; South Korea,SMALL DISRUPTION,"Potential US policy shifts under a Republican administration could introduce tariffs, stricter export controls (e.g., ITAR/EAR expansions), or trade restrictions on China/India APIs, while regulatory delays or localized strikes in key manufacturing hubs (e.g., Ireland, Germany) may disrupt supply chains.",2026-05-20T15:14:08Z
2086905,Will Chicago Fire FC vs. Toronto FC end in a draw?,0.195,99.461834,224506.1592,FALSE,,NO DISRUPTION,"The Chicago Fire FC vs. Toronto FC soccer match is a sports event unrelated to pharmaceutical manufacturing, raw material sourcing, or logistics.",2026-05-20T15:20:57Z
572854,Will West Ham be relegated from the English Premier League after the 2025–26 season?,0.345,99457.20473199993,8564.0611,FALSE,,NO DISRUPTION,"West Ham's relegation from the English Premier League is a sports-related event with no direct or indirect impact on pharmaceutical supply chains, manufacturing, or trade.",2026-05-20T15:14:19Z
2000381,Will The Super Mario Galaxy Movie have the best domestic opening week in 2026?,0.0605,994.288933,4326.44776,FALSE,,NO DISRUPTION,"The release of *The Super Mario Galaxy* movie is an entertainment event unrelated to pharmaceutical manufacturing, raw material sourcing, or logistics, with no direct or indirect impact on global API/generics supply chains.",2026-05-21T14:23:41Z
1981583,Will Mark Kelly be the 2028 Democratic Vice-Presidential nominee?,0.024,994.204059,7787.84587,FALSE,,NO DISRUPTION,"Mark Kelly’s potential VP nomination is unrelated to pharmaceutical supply chain dynamics, manufacturing, or trade in key pharma-sourcing nations.",2026-05-20T15:14:30Z
701552,"Will Ethereum dip to $1,500 by December 31, 2026?",0.485,994080.9263920006,40095.8236,FALSE,,NO DISRUPTION,"Ethereum price fluctuations are unrelated to pharmaceutical supply chain dynamics, manufacturing, raw material sourcing, or export controls.",2026-05-20T15:15:14Z
2309334,Will the highest temperature in Shanghai be 30°C on May 22?,0.0025,993.99682,4769.95374,FALSE,,NO DISRUPTION,"Weather conditions (e.g., high temperatures) at a single airport station in Shanghai do not inherently disrupt pharmaceutical supply chains, manufacturing, or logistics.",2026-05-21T14:30:35Z
2309482,Will the highest temperature in Houston be between 82-83°F on May 22?,0.245,993.9121620000004,1633.4681,FALSE,,NO DISRUPTION,"The highest temperature in Houston on May 22, 2026, is unrelated to pharmaceutical supply chain operations, manufacturing, sourcing, or logistics.",2026-05-21T14:23:47Z
1367023,Will Clavicular be named People's Sexiest Man Alive in 2026?,0.017,99376.53106999995,2052.75979,FALSE,,NO DISRUPTION,"The 'People's Sexiest Man Alive' award is an entertainment/celebrity accolade with no direct or indirect ties to pharmaceutical manufacturing, sourcing, or logistics.",2026-05-20T15:14:41Z
1897331,Will Sweden win on 2026-06-25?,0.285,9.936505,6017.3599,FALSE,,NO DISRUPTION,"The event is a sports match (football) between Sweden and an unspecified opponent, with no direct or indirect ties to pharmaceutical manufacturing, raw material sourcing, or global supply chain disruptions.",2026-05-20T15:14:47Z
1282864,Will the Republican Party win the CO-01 House seat?,0.075,9935.212924,7473.2577,FALSE,,NO DISRUPTION,"The CO-01 House seat election in Colorado is unrelated to pharmaceutical manufacturing, raw material sourcing, or global supply chain dynamics.",2026-05-20T15:14:52Z
1395714,Will Texas Rangers win the 2026 American League Championship Series?,0.075,9934.710707,41397.3119,FALSE,,NO DISRUPTION,"The 2026 American League Championship Series is a sports event unrelated to pharmaceutical manufacturing, raw material sourcing, or logistics.",2026-05-20T15:14:57Z
701580,"Will Solana dip to $20 by December 31, 2026?",0.095,99334.63543599992,15375.8846,FALSE,,NO DISRUPTION,"Solana (SOL) price volatility is unrelated to pharmaceutical supply chain dynamics, manufacturing, or trade in APIs/generics.",2026-05-20T15:15:03Z
666610,Will Trump meet with Pope Leo XIV in 2026?,0.195,9932.387503000004,4159.7303,FALSE,,NO DISRUPTION,"A Trump-Pope Leo XIV meeting in 2026 would be a diplomatic/geopolitical event unrelated to pharmaceutical manufacturing, raw material sourcing, or logistics in key pharma nations.",2026-05-21T14:34:59Z
2314432,"Will Trump say ""Communist"" or ""Communism"" during events in Rockland County?",0.245,99.323652,370.5815,FALSE,,NO DISRUPTION,"Trump's rhetorical use of 'Communist' or 'Communism' in Rockland County would primarily be a domestic political statement with no direct or immediate impact on global pharmaceutical supply chains, manufacturing, or trade.",2026-05-21T14:23:58Z
2256681,Will Marvell Q1 Data Center revenue be above $1.85B?,0.38,992.98,2376.52,FALSE,,NO DISRUPTION,"Marvell's data center revenue performance is unrelated to pharmaceutical supply chain inputs, manufacturing, or logistics.",2026-05-20T15:29:29Z
2316382,Michelsen vs. Tien: Set 1 Games O/U 10.5,0.29,99.248635,3013.1533,FALSE,,NO DISRUPTION,"The tennis match between Alex Michelsen and Learner Tien in Geneva is a sports event unrelated to pharmaceutical manufacturing, sourcing, or logistics.",2026-05-21T14:24:09Z
1975424,Will DeepSeek have the third best AI model at the end of May 2026?,0.0015,9923.026500000004,7551.89471,FALSE,,NO DISRUPTION,"AI model rankings on Chatbot Arena are unrelated to pharmaceutical supply chain operations, manufacturing, or trade in APIs/generics.",2026-05-20T15:34:09Z
1087762,Will Mirra Andreeva win the 2026 Women’s French Open?,0.068,99218.98419200005,18541.20148,FALSE,,NO DISRUPTION,"The 2026 Women’s French Open tennis tournament is a sports event unrelated to pharmaceutical manufacturing, raw material sourcing, or logistics, with no direct impact on global API/generics supply chains.",2026-05-20T15:19:40Z
2303487,Will the price of Solana be less than $40 on May 26?,0.2605,9.92,59.8,FALSE,,NO DISRUPTION,"Solana (SOL) price volatility is unrelated to pharmaceutical supply chain dynamics, manufacturing, or export controls in key pharma nations.",2026-05-21T14:24:20Z
1995626,Map 1: Odd/Even Total Kills?,0.5,9.92,0,FALSE,,NO DISRUPTION,"The event is unrelated to pharmaceutical supply chains, as it pertains to an esports match (likely *Valorant* or similar) with no geopolitical, trade, or manufacturing implications.",2026-05-20T15:15:46Z
1395035,Will Tarik Skubal win the 2026 AL Cy Young Award?,0.0065,9919.438950000003,2637.54747,FALSE,,NO DISRUPTION,"The 2026 AL Cy Young Award is a sports event unrelated to pharmaceutical manufacturing, raw material sourcing, or logistics.",2026-05-20T15:24:57Z
701791,"Will Ethena reach $1.20 by December 31, 2026?",0.0615,9917.912732999996,3214.83091,FALSE,,NO DISRUPTION,"Ethereum (ETH)-related price movements (e.g., Ethena token) are unrelated to pharmaceutical supply chain dynamics, manufacturing, or trade in APIs/generics.",2026-05-20T15:17:36Z
2315555,Cervia: Andrea Guerrieri vs Carlo Alberto Caniato,0.935,99170.68910099998,96788.7163,FALSE,,NO DISRUPTION,"The tennis match between Andrea Guerrieri and Carlo Alberto Caniato in Cervia is an unrelated sports event with no implications for pharmaceutical manufacturing, sourcing, or logistics.",2026-05-21T15:51:31Z
1833921,Will Ak Bars Kazan win Kontinental Hockey League?,0.5745,99.168401,11.93044,FALSE,,NO DISRUPTION,"The Kontinental Hockey League championship is a sports event unrelated to pharmaceutical manufacturing, raw material sourcing, or logistics in key pharma-producing nations.",2026-05-21T14:24:30Z
2313879,Wong vs. Prado: Set 1 Games O/U 8.5,0.9995,99.155116,69100.02945,FALSE,,NO DISRUPTION,The tennis match between Coleman Wong and Juan Carlos Prado at Roland Garros is an unrelated sports event with no implications for pharmaceutical supply chains.,2026-05-21T14:24:40Z
2077445,Deportivo La Guaira FC vs. CS Independiente Rivadavia: O/U 3.5,0.14,991.502888,26856.7998,FALSE,,NO DISRUPTION,"The Copa Libertadores soccer match between Deportivo La Guaira FC and CS Independiente Rivadavia is unrelated to pharmaceutical manufacturing, raw material sourcing, or logistics in key pharma-producing/exporting nations.",2026-05-21T15:51:37Z
2299333,Will the highest temperature in Sao Paulo be 20°C on May 21?,0.08,991.397209,124.628,FALSE,,NO DISRUPTION,"Weather conditions in São Paulo (e.g., temperature fluctuations) do not directly impact pharmaceutical supply chains, manufacturing, or global sourcing/export logistics.",2026-05-21T15:51:43Z
1284322,Will the Republican Party win the NY-16 House seat?,0.0105,9912.77,4169.34953,FALSE,,NO DISRUPTION,"The NY-16 House seat election is a domestic U.S. political contest with no direct impact on global pharmaceutical manufacturing, sourcing, or export controls.",2026-05-20T15:16:02Z
1830324,Will Cruz Azul win Liga MX?,0.395,991.178926,341.85,FALSE,,NO DISRUPTION,"Liga MX is a sports event in Mexico with no direct or indirect implications for pharmaceutical manufacturing, sourcing, or global supply chains.",2026-05-21T14:24:46Z
2299461,Will the highest temperature in Lucknow be 46°C on May 21?,5e-4,991.11651,6707.20663,FALSE,,NO DISRUPTION,Extreme heat in Lucknow (India) is unrelated to pharmaceutical supply chain operations in key API/manufacturing/export nations.,2026-05-21T14:27:04Z
2132786,"Will Bitcoin dip to $35,000 in May?",0.0015,990743.83912,168797.15661,FALSE,,NO DISRUPTION,"Bitcoin price fluctuations are unrelated to pharmaceutical supply chain dynamics, manufacturing, raw material sourcing, or export controls.",2026-05-20T15:36:55Z
2272133,"Will ""Babydoll - Dominic Fike"" be the #1 song on US Spotify this week?",5e-4,990.2795,1928.77304,FALSE,,NO DISRUPTION,"The event is unrelated to pharmaceutical supply chains, involving entertainment/music industry trends with no direct impact on API manufacturing, raw material sourcing, or logistics.",2026-05-20T15:16:30Z
1284791,Will the Republican Party win the TN-08 House seat?,0.84,9902.667656,5588.656,FALSE,,NO DISRUPTION,"The 2026 U.S. House election in TN-08 is an internal political contest with no direct implications for global pharmaceutical manufacturing, sourcing, or export controls.",2026-05-20T15:26:33Z
2315944,"XRP Up or Down - May 21, 6:00PM-6:05PM ET",0.495,9.901959,3457.2081,FALSE,,NO DISRUPTION,"XRP price movements are unrelated to pharmaceutical supply chain dynamics, manufacturing, sourcing, logistics, or export controls.",2026-05-21T14:24:51Z
2320743,"XRP Up or Down - May 22, 7:50AM-7:55AM ET",0.495,9.901959,2442.8273,FALSE,,NO DISRUPTION,"XRP price movements are unrelated to pharmaceutical supply chain dynamics, manufacturing, sourcing, logistics, or export controls.",2026-05-21T14:24:56Z
2320849,"XRP Up or Down - May 22, 7:55AM-8:00AM ET",0.495,9.901959,1257.6155,FALSE,,NO DISRUPTION,"XRP price movements are unrelated to pharmaceutical supply chain dynamics, manufacturing, raw material sourcing, or export controls.",2026-05-21T14:25:02Z
1971154,Will San Antonio Spurs advance to the 2026 NBA Finals?,0.395,9900.641361,72552.3977,FALSE,,NO DISRUPTION,"The 2026 NBA Finals advancement of the San Antonio Spurs is an unrelated sports event with no direct or indirect impact on pharmaceutical supply chains, manufacturing, or trade.",2026-05-21T14:25:18Z
1527950,Will Stephanie Luciano win by KO or TKO?,0.505,9.9,0,FALSE,,NO DISRUPTION,"UFC Fight Night events are entertainment-related and unrelated to pharmaceutical manufacturing, sourcing, or logistics.",2026-05-20T15:17:41Z
2311642,Real Betis Balompié vs. Levante UD: O/U 9.5 Total Corners,0.525,99,5104.0957,FALSE,,NO DISRUPTION,"The Real Betis Balompié vs. Levante UD football match is an unrelated sports event with no direct impact on pharmaceutical supply chains, manufacturing, or trade.",2026-05-20T15:17:47Z
1485172,Will Joey Bosa play for Baltimore Ravens in 2026-27?,0.44,99,13.442,FALSE,,NO DISRUPTION,"Joey Bosa's NFL team change is unrelated to pharmaceutical supply chains, manufacturing, or trade in API/raw materials.",2026-05-21T14:25:12Z
2088989,Over $3M committed to the Printr public sale?,0.0165,989669.48718,14724.38125,FALSE,,NO DISRUPTION,"Printr is a blockchain-based platform for decentralized finance and smart contracts, unrelated to pharmaceutical manufacturing, raw material sourcing, or logistics.",2026-05-20T15:18:30Z
949811,Will Patrick Mahomes start Week 1 for the Chiefs in 2026?,0.615,98.95210899999998,76.2544,FALSE,,NO DISRUPTION,"The NFL Week 1 QB starting decision is an entertainment/sports event unrelated to pharmaceutical manufacturing, sourcing, or global trade.",2026-05-20T15:17:56Z
2321323,Counter-Strike: Tricked vs 1WIN - Map 1 Winner,5e-4,9894.967026000002,47323.18219,FALSE,,NO DISRUPTION,"The Counter-Strike Grand final match between Tricked and 1WIN is an entertainment event unrelated to pharmaceutical manufacturing, sourcing, or logistics.",2026-05-21T15:51:48Z
920403,Variational FDV above $1B one day after launch?,0.245,98933.548021,19777.3359,FALSE,,NO DISRUPTION,"Variational's governance token launch is unrelated to pharmaceutical supply chain operations, manufacturing, sourcing, or logistics.",2026-05-21T14:25:29Z
2319011,Counter-Strike: Yawara Esports vs BESTIA Academy - Map 2 Winner,0.68,989.159762,1519.3977,FALSE,,NO DISRUPTION,"The Counter-Strike match between Yawara Esports and BESTIA Academy is an esports event unrelated to pharmaceutical manufacturing, raw material sourcing, or logistics.",2026-05-21T15:51:54Z
637018,Will Ahmed al-Sharaa win the Nobel Peace Prize in 2026?,0.0065,989097.6282099964,43297.48863,FALSE,,NO DISRUPTION,"Ahmed al-Sharaa is a Syrian journalist and activist, and the Nobel Peace Prize is unrelated to pharmaceutical supply chain dynamics or geopolitical risks affecting API/pharma manufacturing/export nations.",2026-05-20T15:21:29Z
1975018,Will Meta have the #3 AI model at the end of May 2026 (Style Control On)?,0.0035,989.070313,1910.16843,FALSE,,NO DISRUPTION,"Meta's AI model rankings (or any AI model performance) do not directly impact pharmaceutical supply chains, manufacturing, sourcing, or logistics of APIs, raw materials, or finished drugs.",2026-05-20T15:18:02Z
2132824,Will Solana dip to $10 in May?,5e-4,98901.360833,31613.7391,FALSE,,NO DISRUPTION,"Cryptocurrency price fluctuations (e.g., Solana) are unrelated to pharmaceutical supply chain dynamics, manufacturing, or trade of APIs/generics.",2026-05-20T15:19:02Z
1735308,Will Kevin Kiermaier win the 2026 AL Platinum Glove award?,0.054,989.01,338.43563,FALSE,,NO DISRUPTION,"The 2026 AL Platinum Glove award is a sports-related event with no direct or indirect implications for pharmaceutical manufacturing, raw material sourcing, or logistics.",2026-05-20T15:25:18Z
2306276,WTT - Men's Singles: Manush Shah vs Matthew Kuti,0.9945,9.8901,209.8871,FALSE,,NO DISRUPTION,"The table tennis match between Manush Shah and Matthew Kuti is a sports event unrelated to pharmaceutical manufacturing, raw material sourcing, or logistics.",2026-05-20T15:18:14Z
2309932,Will the lowest temperature in Hong Kong be 23°C on May 24?,0.0215,98.896454,680.28561,FALSE,,NO DISRUPTION,"Hong Kong's temperature extremes are unrelated to pharmaceutical supply chain operations, manufacturing, or trade disruptions in key API/generics-producing nations.",2026-05-21T14:25:35Z
2294266,Will Pierceson Coody win the 2026 THE CJ CUP Byron Nelson?,0.0135,988.9231,4661.87198,FALSE,,NO DISRUPTION,"The 2026 THE CJ CUP Byron Nelson is a golf tournament unrelated to pharmaceutical manufacturing, raw material sourcing, or logistics.",2026-05-21T15:13:39Z
2298959,Will Databricks' valuation hit (LOW) $140B by June 30?,0.13,988.5361,842.1448,FALSE,,NO DISRUPTION,"Databricks' valuation as a private market metric is unrelated to pharmaceutical supply chain operations, manufacturing, sourcing, logistics, or export controls.",2026-05-21T15:09:38Z
2097495,Trump ballroom project unblocked by May 31?,0.15,988.4509800000002,1771.4793,FALSE,,NO DISRUPTION,"The Trump ballroom project is a domestic U.S. construction dispute with no direct implications for global pharmaceutical manufacturing, sourcing, or export logistics.",2026-05-21T14:25:40Z
1284896,Will the Democratic Party win the TX-13 House seat?,0.065,9880.808814,8233.7873,FALSE,,NO DISRUPTION,"The TX-13 House seat election is a domestic U.S. political contest with no direct impact on global pharmaceutical manufacturing, sourcing, or export controls.",2026-05-20T15:19:18Z
1090104,"Will Serghei Spivac be the UFC Heavyweight Champion on December 31, 2026?",0.0095,98.782,84.58659,FALSE,,NO DISRUPTION,"The UFC Heavyweight Championship is a sports entertainment event unrelated to pharmaceutical manufacturing, raw material sourcing, or global trade logistics.",2026-05-21T14:25:51Z
2069679,Will Luis Javier Suárez be the top goalscorer at the 2026 FIFA World Cup?,0.02,987.604293,15296.62037,FALSE,,NO DISRUPTION,"The 2026 FIFA World Cup is a sports event in the USA, Canada, and Mexico with no direct or indirect implications for pharmaceutical manufacturing, raw material sourcing, or global supply chains.",2026-05-20T15:18:41Z
2305925,Will Team Liquid win CS Asia Championships 2026?,5e-4,987.574,24139.60553,FALSE,,NO DISRUPTION,"The CS Asia Championships 2026 is an esports event unrelated to pharmaceutical manufacturing, raw material sourcing, or logistics.",2026-05-21T15:09:43Z
2271631,Will Amazon (AMZN) finish week of May 18 above $260?,0.86,98.735805,2248.4807,FALSE,,NO DISRUPTION,"Amazon's stock performance (AMZN) is unrelated to pharmaceutical supply chain dynamics, manufacturing, raw material sourcing, or export controls.",2026-05-21T14:25:56Z
1731840,Will Michael Mebruer be the Republican nominee for LA-05?,0.0115,987.343342,1210.0208,FALSE,,NO DISRUPTION,"The 2026 LA-05 Republican primary election is unrelated to pharmaceutical supply chain dynamics, manufacturing, sourcing, or export controls.",2026-05-20T15:18:52Z
1335136,Will EUR/USD hit 1.35 (High) in 2026?,0.1,986.880195,1448.4962,FALSE,,NO DISRUPTION,"EUR/USD currency fluctuations are macroeconomic in nature and do not directly impact pharmaceutical supply chain operations, manufacturing, or export controls.",2026-05-20T15:18:57Z
2304810,Will FC Rapid 1923 win on 2026-05-25?,0.305,98.657724,3842.8672,FALSE,,NO DISRUPTION,"FC Rapid 1923 is an Austrian football club competing in the Austrian Bundesliga, and the event is unrelated to pharmaceutical manufacturing, sourcing, or logistics.",2026-05-21T14:26:08Z
1794953,Will AC Milan place 2nd for the 2025-26 Serie A season?,0.037,986.561691,240.10911,FALSE,,NO DISRUPTION,AC Milan's 2025-26 Serie A season performance is unrelated to pharmaceutical supply chain dynamics or geopolitical/economic factors affecting key pharma-manufacturing or exporting nations.,2026-05-20T15:37:17Z
943822,Will the Republican Party hold exactly 50 Senate seats after the 2026 midterm elections?,0.155,98648.87319999994,11416.985,FALSE,,NO DISRUPTION,"U.S. Senate election outcomes are domestic political events with no direct regulatory, trade, or manufacturing impact on global pharmaceutical supply chains.",2026-05-20T16:46:27Z
2070216,Will Mistral have the best Coding AI model at the end of May 2026?,5e-4,986.4444,4857.86273,FALSE,,NO DISRUPTION,"Chatbot AI model rankings (e.g., Coding Leaderboard) are unrelated to pharmaceutical supply chain operations, manufacturing, or trade in APIs/generics.",2026-05-20T15:19:13Z
2303481,Istanbul: Daniel Michalski vs Benjamin Hassan,0.9995,98637.54854,171433.39369,FALSE,,NO DISRUPTION,"The tennis match between Daniel Michalski and Benjamin Hassan in Istanbul is an unrelated sports event with no direct or indirect implications for pharmaceutical supply chains, manufacturing, or trade.",2026-05-21T15:51:59Z
